,,,
Theme: Society,,,
Subject: Environment,,,
Topic: Air Quality and Climate,,,
"Table Title: Air Temperature And Sunshine, Relative Humidity And Rainfall, Monthly",,,
,,,
Data last updated: 04/07/2023,,,
Source: NATIONAL ENVIRONMENT AGENCY,,,
,,,
,,,
Data Series,Total Rainfall ,Bright Sunshine Daily Mean ,24 Hours Mean Relative Humidity 
  2023 May,112.8,6.6,73.7
  2023 Apr,222.8,5.8,77.4
  2023 Mar,243.4,6,79.2
  2023 Feb,324.4,5.1,79.4
  2023 Jan,302.6,4.4,81.9
  2022 Dec,215.4,3.6,81.2
  2022 Nov,313.8,3.8,79.9
  2022 Oct,279,3.5,78.7
  2022 Sep,121,3.8,76.9
  2022 Aug,141.4,5.5,77.4
  2022 Jul,145.2,6.2,76.8
  2022 Jun,211.8,4.7,79.1
  2022 May,102,6.7,76.5
  2022 Apr,239.6,5.2,80
  2022 Mar,163.2,6.4,79.2
  2022 Feb,175,5.9,80.3
  2022 Jan,99.8,8.3,77.4
  2021 Dec,119.6,5.4,79.7
  2021 Nov,312.4,4.9,81.7
  2021 Oct,177,6.2,78.3
  2021 Sep,205.4,6.4,77.3
  2021 Aug,293.6,4.8,80.4
  2021 Jul,195.8,6.8,76.5
  2021 Jun,93.4,6.5,77.8
  2021 May,245.8,6,79.3
  2021 Apr,290.4,6.8,77.4
  2021 Mar,182.4,7.3,76.6
  2021 Feb,1,8.2,73.8
  2021 Jan,692.8,4.2,82.6
  2020 Dec,253.2,5.2,81.1
  2020 Nov,220.6,4,81.7
  2020 Oct,78.8,4.3,75.4
  2020 Sep,150.2,4.8,79
  2020 Aug,103.4,6.4,76.8
  2020 Jul,140.8,5.7,78.2
  2020 Jun,233.8,4.3,80.2
  2020 May,255.6,5.7,79.1
  2020 Apr,188,7.1,76.4
  2020 Mar,108.8,7.6,75.2
  2020 Feb,65,8.3,76
  2020 Jan,88.4,7.1,77.9
  2019 Dec,421.5,4.8,83.9
  2019 Nov,137.4,5.5,79.2
  2019 Oct,176.8,6.5,78.1
  2019 Sep,22.8,6.7,73
  2019 Aug,11.8,7.6,72.1
  2019 Jul,12.2,7.5,75.2
  2019 Jun,173.8,5.3,79.5
  2019 May,69,7,79.2
  2019 Apr,174.8,5.9,77.6
  2019 Mar,72.2,8.3,72.3
  2019 Feb,31.6,9.2,74.1
  2019 Jan,63.6,7.1,75.6
  2018 Dec,172.6,5.1,81.5
  2018 Nov,169.6,3.8,83.2
  2018 Oct,234.4,6.1,79.7
  2018 Sep,144.4,6,77.1
  2018 Aug,121.6,6.7,77
  2018 Jul,143.2,6.1,77.7
  2018 Jun,182.6,4.1,79.3
  2018 May,132.2,5.8,79
  2018 Apr,61.2,6.8,78.5
  2018 Mar,44.6,6.4,78.4
  2018 Feb,14.8,8,77.2
  2018 Jan,287,4.1,86.6
  2017 Dec,371.2,5.6,85.2
  2017 Nov,268.6,4.2,86.3
  2017 Oct,120.8,5.5,82.5
  2017 Sep,124.4,5.7,81
  2017 Aug,84.2,6.1,79.9
  2017 Jul,79.6,7,79.6
  2017 Jun,106,6.3,80.2
  2017 May,190,5.9,82.8
  2017 Apr,208.6,5.3,83.5
  2017 Mar,136.2,6.1,82.5
  2017 Feb,158.4,7.1,83.2
  2017 Jan,197.6,4.8,84.8
  2016 Dec,292.6,5.1,72.8
  2016 Nov,290.2,3.5,77.6
  2016 Oct,181,4.6,72
  2016 Sep,118.9,5.5,73.9
  2016 Aug,139.2,6.7,74
  2016 Jul,168.6,6.3,77.3
  2016 Jun,162.8,5.4,77.7
  2016 May,193.8,6.2,77.4
  2016 Apr,89.8,7,75.6
  2016 Mar,6.2,8,74.7
  2016 Feb,186,6.5,78.8
  2016 Jan,126.6,7.2,79.6
  2015 Dec,302,5.3,81.1
  2015 Nov,72.6,4.8,79.1
  2015 Oct,87.2,4.7,75.4
  2015 Sep,61.6,4.3,75
  2015 Aug,185.8,6.1,76.7
  2015 Jul,116.8,7.1,74.9
  2015 Jun,95.8,6.7,75.8
  2015 May,89,5.8,78.9
  2015 Apr,73.2,7.2,77.1
  2015 Mar,84.4,7.3,75.8
  2015 Feb,18.8,7.3,75.4
  2015 Jan,79.6,7.4,77.6
  2014 Dec,245.6,3.7,82.6
