,month,mean_surface_airtemp,mean_wet_bulb_temperature,total_rainfall,daily_mean_sunshine,mean_relative_humidity,average_co2_ppm,average_ch4_ppb,average_n2o_ppb,average_sf6_ppt
0,1958-03,,,,,,315.7,,,
1,1958-04,,,,,,317.45,,,
2,1958-05,,,,,,317.51,,,
3,1958-06,,,,,,317.24,,,
4,1958-07,,,,,,315.86,,,
5,1958-08,,,,,,314.93,,,
6,1958-09,,,,,,313.2,,,
7,1958-10,,,,,,312.43,,,
8,1958-11,,,,,,313.33,,,
9,1958-12,,,,,,314.67,,,
10,1959-01,,,,,,315.58,,,
11,1959-02,,,,,,316.48,,,
12,1959-03,,,,,,316.65,,,
13,1959-04,,,,,,317.72,,,
14,1959-05,,,,,,318.29,,,
15,1959-06,,,,,,318.15,,,
16,1959-07,,,,,,316.54,,,
17,1959-08,,,,,,314.8,,,
18,1959-09,,,,,,313.84,,,
19,1959-10,,,,,,313.33,,,
20,1959-11,,,,,,314.81,,,
21,1959-12,,,,,,315.58,,,
22,1960-01,,,,,,316.43,,,
23,1960-02,,,,,,316.98,,,
24,1960-03,,,,,,317.58,,,
25,1960-04,,,,,,319.03,,,
26,1960-05,,,,,,320.04,,,
27,1960-06,,,,,,319.59,,,
28,1960-07,,,,,,318.18,,,
29,1960-08,,,,,,315.9,,,
30,1960-09,,,,,,314.17,,,
31,1960-10,,,,,,313.83,,,
32,1960-11,,,,,,315.0,,,
33,1960-12,,,,,,316.19,,,
34,1961-01,,,,,,316.89,,,
35,1961-02,,,,,,317.7,,,
36,1961-03,,,,,,318.54,,,
37,1961-04,,,,,,319.48,,,
38,1961-05,,,,,,320.58,,,
39,1961-06,,,,,,319.77,,,
40,1961-07,,,,,,318.57,,,
41,1961-08,,,,,,316.79,,,
42,1961-09,,,,,,314.99,,,
43,1961-10,,,,,,315.31,,,
44,1961-11,,,,,,316.1,,,
45,1961-12,,,,,,317.01,,,
46,1962-01,,,,,,317.94,,,
47,1962-02,,,,,,318.55,,,
48,1962-03,,,,,,319.68,,,
49,1962-04,,,,,,320.57,,,
50,1962-05,,,,,,321.02,,,
51,1962-06,,,,,,320.62,,,
52,1962-07,,,,,,319.61,,,
53,1962-08,,,,,,317.4,,,
54,1962-09,,,,,,316.25,,,
55,1962-10,,,,,,315.42,,,
